GeoID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1001,3623089.6114265397,3623089.6114265397,3623089.6114265397,3623089.6114265397,3623089.6114265397,3623089.6114265397,3623089.6114265397,3623089.6114265397,3623089.6114265397,3623089.6114265397,3623089.6114265397,3623089.6114265397,3623089.6114265397,3623089.6114265397,3623089.6114265397,3623089.6114265397,3623089.6114265397,3623089.6114265397,3623089.6114265397,3623089.6114265397,3623089.6114265397,3623089.6114265397,3623089.6114265397,3623089.6114265397,3623089.6114265397,3623089.6114265397,3623089.6114265397,3623089.6114265397,3623089.6114265397,3623089.6114265397,3623089.6114265397,3650945.926682391,3676192.445387932,3699359.912443544,3720488.094766066,3739618.958727958,3756987.728892092,3772485.93282506,3786202.5246646507,3798228.793431085,3808665.36567157,3817569.702643555,3826525.269874957,3835524.960444283,3844790.0885787,3852869.466326723,3859728.3163270596,3865374.5735917185,3869880.224533863,3870621.810522703,3870225.20241347,3868653.998167327,3866159.8759659943,3862335.607725157,3857317.6524217,3851244.05729331,3844265.9992890307,3836583.689363598,3828411.955762862,3819968.4881535126,3814267.214505272,3805815.26903736,3800308.874375768,3791961.47996565,3786465.8279384756,3780835.6000544857,3775019.175430003,3769000.5604225914,3762771.974761163,3756324.6435746066,3749401.8996836
1003,18914171.88811,18914171.88811,18914171.88811,18914171.88811,18914171.88811,18914171.88811,18914171.88811,18914171.88811,18914171.88811,18914171.88811,18914171.88811,18914171.88811,18914171.88811,18914171.88811,18914171.88811,18914171.88811,18914171.88811,18914171.88811,18914171.88811,18914171.88811,18914171.88811,18914171.88811,18914171.88811,18914171.88811,18914171.88811,18914171.88811,18914171.88811,18914171.88811,18914171.88811,18914171.88811,18914171.88811,19059993.3995322,19205332.03181436,19350421.539579973,19494930.44903011,19638590.85737111,19781184.19496333,19985341.11198337,20268566.33809619,20595669.412306167,20946829.97606287,21310739.501808446,21680549.51829778,22051941.74587544,22422132.669538762,22789213.993231792,23151931.452638227,23509892.53716447,23863034.499725226,24211411.453429185,24555502.0757875,24895470.2818675,25231512.318536,25563872.84599845,25892824.51347938,26218672.643413953,26541688.161523603,26861905.821783032,27179300.79308745,27493849.94312173,27805526.08623814,28114351.860128887,28420524.72606359,28724287.80887486,29025887.43909433,29325572.79139162,29623587.06936808,29920141.064034816,30215439.12684519,30509687.87204576,30802785.92976949
1005,1820796.345836036,1820796.345836036,1820796.345836036,1820796.345836036,1820796.345836036,1820796.345836036,1820796.345836036,1820796.345836036,1820796.345836036,1820796.345836036,1820796.345836036,1820796.345836036,1820796.345836036,1820796.345836036,1820796.345836036,1820796.345836036,1820796.345836036,1820796.345836036,1820796.345836036,1820796.345836036,1820796.345836036,1820796.345836036,1820796.345836036,1820796.345836036,1820796.345836036,1820796.345836036,1820796.345836036,1820796.345836036,1820796.345836036,1820796.345836036,1820796.345836036,1810037.230577338,1798884.0212679917,1787106.528181467,1774721.060724218,1761744.3242548641,1748189.2657474342,1734052.6401958,1719326.8750423961,1704004.053136493,1688115.3244586252,1671670.647309222,1654900.057406484,1637765.714165352,1620384.049452349,1602873.134203907,1585328.399826968,1567749.651624257,1550111.909916007,1531844.6704249731,1513897.6707361438,1495709.630491779,1477354.5741642169,1458381.072642425,1439866.379380123,1421476.8131039522,1403294.146540557,1385350.1088496828,1367663.607406844,1350361.217758661,1333358.242123135,1316658.598470024,1300216.518953185,1283973.4340381129,1267868.56479582,1251839.4685301369,1235824.537657005,1219770.4524492598,1203625.017696518,1187390.7838294709,1172316.55562319
1007,1454578.276091815,1454578.276091815,1454578.276091815,1454578.276091815,1454578.276091815,1454578.276091815,1454578.276091815,1454578.276091815,1454578.276091815,1454578.276091815,1454578.276091815,1454578.276091815,1454578.276091815,1454578.276091815,1454578.276091815,1454578.276091815,1454578.276091815,1454578.276091815,1454578.276091815,1454578.276091815,1454578.276091815,1454578.276091815,1454578.276091815,1454578.276091815,1454578.276091815,1454578.276091815,1454578.276091815,1454578.276091815,1454578.276091815,1454578.276091815,1454578.276091815,1449411.788116966,1444456.3588136449,1439107.8591604081,1433380.861097828,1427285.210256078,1420815.8243252712,1413992.3006167328,1406835.22876273,1399365.474558714,1391661.926177668,1383738.103532725,1375420.454695245,1367048.526192033,1358266.013004525,1349432.645641186,1340185.430460596,1330938.0226914731,1321365.179380135,1311898.228561864,1302264.834520941,1292514.129649622,1282464.268241774,1272501.980261703,1262431.020848806,1252251.177610076,1241971.6034952179,1231641.778800454,1221321.6973048279,1211071.772000579,1200962.5842580579,1191040.931858354,1181298.637556778,1171711.951208011,1162256.773074921,1152908.1040131568,1143642.817625053,1134448.000167401,1125312.8463516128,1116225.950812065,1108143.746103538
1009,3556688.675310775,3556688.675310775,3556688.675310775,3556688.675310775,3556688.675310775,3556688.675310775,3556688.675310775,3556688.675310775,3556688.675310775,3556688.675310775,3556688.675310775,3556688.675310775,3556688.675310775,3556688.675310775,3556688.675310775,3556688.675310775,3556688.675310775,3556688.675310775,3556688.675310775,3556688.675310775,3556688.675310775,3556688.675310775,3556688.675310775,3556688.675310775,3556688.675310775,3556688.675310775,3556688.675310775,3556688.675310775,3556688.675310775,3556688.675310775,3556688.675310775,3577987.8774786913,3597517.670932731,3615500.347588343,3631938.4447499244,3646851.6521582743,3654899.181439232,3661611.704136703,3666946.582824832,3671153.4485958293,3674205.708370267,3676137.352657603,3677033.7772380016,3676979.885100823,3675953.041766482,3674253.762271879,3669168.571328863,3663229.60502969,3658910.068586378,3651234.274401798,3642571.2507011453,3632955.482434138,3622470.6028265534,3613724.299322073,3601666.908433314,3591568.302982526,3578317.580774493,3567237.424213184,3555770.274226939,3541407.292850585,3529567.868195555,3517653.022413317,3505701.818823875,3493735.761964624,3481778.771799489,3469854.2579296045,3455362.581613544,3443673.9762213263,3432110.5846250616,3420707.834872081,3409315.728068154
1011,677335.222017491,677335.222017491,677335.222017491,677335.222017491,677335.222017491,677335.222017491,677335.222017491,677335.222017491,677335.222017491,677335.222017491,677335.222017491,677335.222017491,677335.222017491,677335.222017491,677335.222017491,677335.222017491,677335.222017491,677335.222017491,677335.222017491,677335.222017491,677335.222017491,677335.222017491,677335.222017491,677335.222017491,677335.222017491,677335.222017491,677335.222017491,677335.222017491,677335.222017491,677335.222017491,677335.222017491,673199.176199031,669485.413710647,665585.146949123,661510.260924676,657273.30750663,652278.144599502,647170.0799751871,641976.050876697,636723.615842906,631450.486068056,626165.7203345089,620848.189488351,615464.719169241,609982.880287342,604369.644347689,598493.076129704,592500.8792966551,586441.952260223,580365.9458956111,574257.873592735,568160.324472877,562072.4043739589,555979.839850269,549870.187988063,543849.867107934,537670.638567527,531600.638262362,525424.4958209731,520028.304630308,514693.58790849894,509312.43357639597,503499.410222964,498311.104997594,493072.62195578497,487734.973285645,482250.943427699,476582.897345362,470695.17525793397,464667.577937174,458557.43004762504
1013,1534225.1615290102,1534225.1615290102,1534225.1615290102,1534225.1615290102,1534225.1615290102,1534225.1615290102,1534225.1615290102,1534225.1615290102,1534225.1615290102,1534225.1615290102,1534225.1615290102,1534225.1615290102,1534225.1615290102,1534225.1615290102,1534225.1615290102,1534225.1615290102,1534225.1615290102,1534225.1615290102,1534225.1615290102,1534225.1615290102,1534225.1615290102,1534225.1615290102,1534225.1615290102,1534225.1615290102,1534225.1615290102,1534225.1615290102,1534225.1615290102,1534225.1615290102,1534225.1615290102,1534225.1615290102,1534225.1615290102,1514768.304905301,1495512.622001846,1476140.87500202,1456676.970587268,1439478.504784811,1422032.877408159,1404408.5835147211,1386636.793525732,1368772.4226294379,1350920.768355923,1333117.565178293,1315360.0135298,1297629.379600895,1279909.168229992,1262182.021799613,1244443.511753718,1226743.8572795182,1209147.683901228,1191720.410481151,1174398.939981311,1157244.090209341,1140278.0298042959,1123509.028630728,1106948.053350178,1090605.260659455,1074485.7903733992,1058617.474281629,1043023.628926514,1027727.451516222,1012765.9156894181,998154.466742578,983882.3809587751,969930.44629516,956279.174019674,942908.174432177,929797.466348162,916931.404765501,904294.9107823271,891872.221496861,879733.769240006
1015,8214693.475102917,8214693.475102917,8214693.475102917,8214693.475102917,8214693.475102917,8214693.475102917,8214693.475102917,8214693.475102917,8214693.475102917,8214693.475102917,8214693.475102917,8214693.475102917,8214693.475102917,8214693.475102917,8214693.475102917,8214693.475102917,8214693.475102917,8214693.475102917,8214693.475102917,8214693.475102917,8214693.475102917,8214693.475102917,8214693.475102917,8214693.475102917,8214693.475102917,8214693.475102917,8214693.475102917,8214693.475102917,8214693.475102917,8214693.475102917,8214693.475102917,8196773.029753205,8173649.037528951,8146072.423819055,8114172.957837108,8078086.548003645,8037955.819473519,7993932.503658949,7946174.515088998,7894844.756658695,7840571.15551296,7783501.062536074,7723767.740568115,7661474.432190991,7596749.4900821075,7529724.486217026,7460555.742573459,7389490.189806451,7316801.750716525,7242769.640177385,7167351.463419935,7090834.776038681,7013469.791858857,6935476.192943254,6857085.749884916,6778527.821358833,6700002.695643518,6621603.903046155,6543398.3472963795,6465452.449867348,6388511.168820855,6311980.865835199,6235853.795279704,6160108.56769854,6084719.981937705,6009826.564115545,5935578.312290181,5861972.331506419,5791600.736543351,5721724.983624694,5652024.788262749
1017,2723657.329676783,2723657.329676783,2723657.329676783,2723657.329676783,2723657.329676783,2723657.329676783,2723657.329676783,2723657.329676783,2723657.329676783,2723657.329676783,2723657.329676783,2723657.329676783,2723657.329676783,2723657.329676783,2723657.329676783,2723657.329676783,2723657.329676783,2723657.329676783,2723657.329676783,2723657.329676783,2723657.329676783,2723657.329676783,2723657.329676783,2723657.329676783,2723657.329676783,2723657.329676783,2723657.329676783,2723657.329676783,2723657.329676783,2723657.329676783,2723657.329676783,2734658.7739084125,2745350.114462598,2755716.16314454,2765772.3547731643,2758287.9790469916,2750242.940586591,2741641.4978050906,2732521.592920609,2722922.790091845,2712956.7587267323,2702661.1331506167,2692067.999330287,2681199.4209056,2670084.9773606434,2658755.04086598,2647224.911460166,2635447.0540714255,2623357.32552788,2610890.582478614,2597942.703803633,2585375.860234338,2571475.954385467,2558222.775628225,2543913.738504359,2530563.4784650537,2516433.426442927,2503460.5991187133,2490728.202575514,2477336.187316983,2465259.4691045717,2453563.838549308,2442255.930205556,2431331.044302775,2420787.03850096,2410621.708008272,2400834.0359944818,2391428.0437790914,2382408.993928006,2375872.0868730834,2369939.496548593
1019,2648697.960323116,2648697.960323116,2648697.960323116,2648697.960323116,2648697.960323116,2648697.960323116,2648697.960323116,2648697.960323116,2648697.960323116,2648697.960323116,2648697.960323116,2648697.960323116,2648697.960323116,2648697.960323116,2648697.960323116,2648697.960323116,2648697.960323116,2648697.960323116,2648697.960323116,2648697.960323116,2648697.960323116,2648697.960323116,2648697.960323116,2648697.960323116,2648697.960323116,2648697.960323116,2648697.960323116,2648697.960323116,2648697.960323116,2648697.960323116,2648697.960323116,2629370.1099032876,2608524.425564741,2586751.647620894,2564105.984027579,2540643.50454775,2516421.897917104,2491595.371870719,2470897.794746201,2449272.498697232,2427148.4286253448,2404582.132442793,2381632.20438108,2358351.5759396297,2334799.3150759838,2311035.191435794,2287112.607312014,2263057.4900107933,2238888.7364830757,2214625.0645266697,2190072.549832092,2165268.90944901,2140296.145350951,2115241.121481172,2090196.9430857599,2065256.673245482,2040503.9299663352,2015985.331950744,1991738.021905044,1967798.714492924,1944234.868927963,1921076.0160382488,1898334.256523245,1876013.877655147,1854119.505765033,1832759.7359198662,1811827.974952205,1791330.085482745,1771271.8635798048,1751857.246729127,1732702.0246236098
