Latitude,Longitude,facility_id,facility_label,geometry
30.7698825,-86.67528539,b22e8d7d-2535-4c1d-9570-f3d3e1d6b8ad,WTS,POINT (-86.67528539 30.7698825)
29.75275852,-82.83593873,2f619216-2206-42c7-8277-f044d854050a,WTS,POINT (-82.83593873 29.75275852)
29.48169149,-81.26776952,a5b59a5a-621a-4ece-a7c7-c1a476c3fd22,WTS,POINT (-81.26776952 29.48169149)
29.62914372,-83.08748534,8e179a6c-0235-43a6-8ca5-6aa0240ccc16,WTS,POINT (-83.08748534 29.62914372)
29.01907135,-81.21912369,8b9397fe-89e5-4c19-a490-fce8f5473501,WTS,POINT (-81.21912369 29.01907135)
28.98597518,-80.91511867,d9c3cf2c-9448-4b3b-b941-7aa0371c2765,WTS,POINT (-80.91511867 28.98597518)
29.84281744,-81.40688541,91c6b7b6-4974-4500-8fd8-e44fc7915577,WTS,POINT (-81.40688541 29.84281744)
29.8312953,-81.38645595,40b6e789-353d-45f9-94e9-bc9a5eac5f65,WTS,POINT (-81.38645595 29.8312953)
30.41981523,-86.67036043,ac2acf45-5d41-4846-b708-50e7d254bcc2,WTS,POINT (-86.67036043 30.41981523)
30.43482083,-86.67070242,df21ec43-4527-4333-bf33-345eb15ab780,WTS,POINT (-86.67070242 30.43482083)
29.643111,-82.284606,d557a29a-a2d1-4f30-9a30-5fda0a31d2b4,WTS,POINT (-82.284606 29.643111)
29.71008103,-82.27203268,095f3aa4-7250-426c-b0ce-515ecb3abcfd,WTS,POINT (-82.27203268 29.71008103)
30.00260417,-81.74204961,19092baa-08af-4f72-ab5f-acdc0cbd3ebf,WTS,POINT (-81.74204961 30.00260417)
29.13651,-82.104831,7d88a288-a796-488d-ae32-e31f92b21d7c,WTS,POINT (-82.104831 29.13651)
29.28848087,-81.07311574,8831c8b2-8341-4e98-88d9-b115df79b880,WTS,POINT (-81.07311574 29.28848087)
30.26512667,-85.5224134,0510ad5f-4fb8-422d-9e89-0c47e3034825,WTS,POINT (-85.5224134 30.26512667)
30.43850255,-87.22417344,ecf8bc17-a1a0-448f-a2f0-3b140d6db804,WTS,POINT (-87.22417344 30.43850255)
29.82869945,-85.26779637,8a0c53b0-13ff-4e81-b84c-9d1ca8c70069,WTS,POINT (-85.26779637 29.82869945)
30.57917746,-84.52970741,cd338018-f878-4e66-9f5b-f778411764a3,WTS,POINT (-84.52970741 30.57917746)
28.820277,-81.313209,4ac5ada3-2026-4112-97d5-14fa6fef8152,WTS,POINT (-81.313209 28.820277)
30.04599477,-81.42367773,9a97e4b0-6af9-4c95-ad89-e2905b413ccb,WTS,POINT (-81.42367773 30.04599477)
30.450168,-84.359493,e93a7f14-0e0f-4bd7-af10-678490f381d3,WTS,POINT (-84.359493 30.450168)
28.880676,-82.03150336,ffc4c900-5af9-498f-a531-ef85976b0897,WTS,POINT (-82.03150336 28.880676)
34.02416721,-83.61827718,da4e95de-7888-4ffb-8d35-1f9f4097a61d,WTS,POINT (-83.61827718 34.02416721)
34.07813147,-84.69254058,0e2674ba-d9bd-4c94-befe-43a5702e359e,WTS,POINT (-84.69254058 34.07813147)
33.08822667,-83.27932185,7df71967-603a-46d3-8881-5db64066fcc9,WTS,POINT (-83.27932185 33.08822667)
33.53916892,-83.25733103,d5db9410-98e5-4376-b040-6c99590f4bc2,WTS,POINT (-83.25733103 33.53916892)
34.2691946,-83.83855992,e8b3e632-e85d-4a1f-a56a-8b6675cde81a,WTS,POINT (-83.83855992 34.2691946)
32.9764711,-82.8100476,251722e5-cde0-4629-bb5c-4d7ac59867cd,WTS,POINT (-82.8100476 32.9764711)
33.73845874,-84.09799013,b245d945-976e-4983-8b3b-ccf57d1e4b36,WTS,POINT (-84.09799013 33.73845874)
33.2843828,-83.93055469,905c838d-a4ad-4e4f-b365-fc91d1de5835,WTS,POINT (-83.93055469 33.2843828)
33.51949714,-82.24447905,1ee52a79-78e1-4459-9f29-03aba8514a72,WTS,POINT (-82.24447905 33.51949714)
33.33937519,-83.39960417,60c7278b-ee4e-447c-9458-bb13fe49e8b8,WTS,POINT (-83.39960417 33.33937519)
34.1473764,-84.84718367,fab5606c-b18e-4ce1-90d8-e2ade1fc23de,WTS,POINT (-84.84718367 34.1473764)
32.82920936,-83.72929267,dbe02181-377e-4c49-a1c4-f76500df3f65,WTS,POINT (-83.72929267 32.82920936)
33.88845632,-84.29461391,75ba3268-a07d-4787-a690-f6361702c3e8,WTS,POINT (-84.29461391 33.88845632)
32.32752591,-81.87640286,cc0855a6-286d-469c-a6f7-99b4d81e618b,WTS,POINT (-81.87640286 32.32752591)
33.69335268,-84.06915873,5b23f082-94ed-4a21-8dc8-2e3e671b1353,WTS,POINT (-84.06915873 33.69335268)
34.05858956,-84.30232097,14390323-09d7-4006-9c56-ebd254028070,WTS,POINT (-84.30232097 34.05858956)
33.84746358,-83.25021944,b0406c79-4f57-4577-9d1a-ae57f03155c1,WTS,POINT (-83.25021944 33.84746358)
32.05337451,-84.20327405,3c877df5-ef99-452a-a0bd-72720940d951,WTS,POINT (-84.20327405 32.05337451)
33.92626427,-84.56039702,cbbccb3b-f225-4bbb-be8e-5edacd3daa98,WTS,POINT (-84.56039702 33.92626427)
33.662727,-84.32778306,b018946e-42e3-46a6-a0f6-c5f54c4f11c4,WTS,POINT (-84.32778306 33.662727)
33.97790034,-83.34872178,1184c7c8-b48a-4888-b002-66c0885c5a6d,WTS,POINT (-83.34872178 33.97790034)
34.04901868,-85.0699937,438109dc-e4dc-4112-a875-edf3361b6ab8,WTS,POINT (-85.0699937 34.04901868)
33.11990145,-83.20754989,63885d04-4979-4844-8933-9bbd2deb0882,WTS,POINT (-83.20754989 33.11990145)
33.11876012,-83.208748,e29e90c3-e164-43d0-83c2-801bd2987f5a,WTS,POINT (-83.208748 33.11876012)
34.22490126,-84.80482493,0f7a4e9f-68fd-4e57-9adc-de91799fc4c6,WTS,POINT (-84.80482493 34.22490126)
33.69301326,-84.41833391,c354a7a0-8d3f-405b-8465-ca22d1015364,WTS,POINT (-84.41833391 33.69301326)
32.42386039,-83.31173176,6066d30d-ac49-4dd8-b2e9-11ea012dea7c,WTS,POINT (-83.31173176 32.42386039)
30.79753052,-83.5554915,13894460-dcc7-4b02-8d93-23f88c9c50e9,WTS,POINT (-83.5554915 30.79753052)
33.54853729,-82.12254095,501fa698-cfd0-4a12-b8ee-4ab310847cea,WTS,POINT (-82.12254095 33.54853729)
33.08332382,-81.96805434,2f0a8c93-c5ea-4bac-bba3-eda1a21bd34e,WTS,POINT (-81.96805434 33.08332382)
32.97970968,-85.04935938,904ff4b8-8a85-4dd0-8ccf-c43ed8c8ef4e,WTS,POINT (-85.04935938 32.97970968)
31.18689419,-81.49999131,c86b8d36-9ab5-465f-801b-8a4e00e07287,WTS,POINT (-81.49999131 31.18689419)
33.54795553,-85.15067687,0d22989f-50b9-49db-83ee-aacdf967d113,WTS,POINT (-85.15067687 33.54795553)
33.74939747,-84.93849022,1a553fa8-2f80-4086-880f-c26eb563dc7c,WTS,POINT (-84.93849022 33.74939747)
33.74460908,-84.94658459,fd1eeeff-1f70-412b-a8c4-1dd69e2104b4,WTS,POINT (-84.94658459 33.74460908)
34.88467709,-85.16693342,1a5a4a9b-2354-4ebc-8b7a-521e719a404e,WTS,POINT (-85.16693342 34.88467709)
33.6891085,-84.339801,95d2bc6b-6af9-4647-bf09-e0b23d8a1a55,WTS,POINT (-84.339801 33.6891085)
34.2355134,-84.79332269,0a6b303f-e24b-4ddf-a2a1-ac41a5a9bac0,WTS,POINT (-84.79332269 34.2355134)
33.81765167,-84.4998049,664e6cff-0451-46c5-b936-4c7944a93d23,WTS,POINT (-84.4998049 33.81765167)
31.20540542,-81.50014366,b554c263-3cdd-4746-97c9-95d2dd144df8,WTS,POINT (-81.50014366 31.20540542)
32.09619182,-81.11538729,b3c6a5e1-47b7-470a-bec3-ddbdd7822792,WTS,POINT (-81.11538729 32.09619182)
34.49049575,-85.33717775,eeec91b9-a564-45b6-bbb2-be87c8a78fd5,WTS,POINT (-85.33717775 34.49049575)
32.54690088,-83.89768952,8b0d1460-967d-478d-9ee9-1445c9d68db1,WTS,POINT (-83.89768952 32.54690088)
33.80928831,-83.69855062,a34286d4-ebb0-4a20-9b3b-92248a24ab18,WTS,POINT (-83.69855062 33.80928831)
34.06094247,-84.30863609,2bd7202a-21be-447c-8e5a-4f4e544889d5,WTS,POINT (-84.30863609 34.06094247)
33.95688331,-83.40037872,c18fb2bc-fae1-4720-a349-f436bd035194,WTS,POINT (-83.40037872 33.95688331)
33.9785721,-83.39984003,633f6136-afc5-488c-8228-025f14dec898,WTS,POINT (-83.39984003 33.9785721)
33.97619212,-83.38847079,37fb433a-1c33-4c30-9090-9687a68fa2db,WTS,POINT (-83.38847079 33.97619212)
33.83450693,-84.25088646,6beb958d-8fd5-469b-a926-6dc6059b6dd5,WTS,POINT (-84.25088646 33.83450693)
33.54855769,-84.59402145,68676dd7-b779-4908-8aca-0bc296f16533,WTS,POINT (-84.59402145 33.54855769)
33.7998227,-84.51413851,07c73129-10a0-483b-a266-88fa4a646646,WTS,POINT (-84.51413851 33.7998227)
31.57041245,-82.88743139,159b160c-c2e0-4ab2-bf64-93424d8e07f4,WTS,POINT (-82.88743139 31.57041245)
31.18297576,-83.74342883,0266a920-6438-4851-ab44-1c12ef64acbe,WTS,POINT (-83.74342883 31.18297576)
33.9971392,-84.5959236,7c691480-3718-4b0b-8256-58a5d5de017b,WTS,POINT (-84.5959236 33.9971392)
33.60669816,-83.8502292,a6e9b967-4a88-45aa-98e6-a54b06a0692e,WTS,POINT (-83.8502292 33.60669816)
