City,State,Zip Code,Latitude,Longitude,Landfill ID,DDRT_ID,main_landfill_ID,geometry,facility_id,facility_label,x,y,PFAS_CT_2020
Imperial,NE,69033,40.494965,-101.656927,,747e2ac4-9bad-4b4a-867b-d6a1421b3dc3,747e2ac4-9bad-4b4a-867b-d6a1421b3dc3,POINT (-101.656927 40.494965),747e2ac4-9bad-4b4a-867b-d6a1421b3dc3,MLF,-101.656927,40.494965,26.862112942
Jefferson City,MO,65101,38.54054,-92.100491,,f5ea21cb-0012-40e2-ac45-4ec8f5b210d9,f5ea21cb-0012-40e2-ac45-4ec8f5b210d9,POINT (-92.100491 38.54054),f5ea21cb-0012-40e2-ac45-4ec8f5b210d9,MLF,-92.100491,38.54054,500.006420875
Oracle,AZ,85623,32.61602451,-110.7507822,,0704778d-2361-4cce-8396-4e0ff4739970,0704778d-2361-4cce-8396-4e0ff4739970,POINT (-110.7507822 32.61602451),0704778d-2361-4cce-8396-4e0ff4739970,MLF,-110.7507822,32.61602451,206.631680187
Cortez,CO,81321,37.297454,-108.56992,,8d7dd209-ce92-4c2c-845b-0550731c9c0c,8d7dd209-ce92-4c2c-845b-0550731c9c0c,POINT (-108.56992 37.297454),8d7dd209-ce92-4c2c-845b-0550731c9c0c,MLF,-108.56992,37.297454,184.52423184
Durango,CO,81301,37.27553001,-107.89418,,df3d9f04-b8ab-4f26-8c55-1aecb76f80fa,df3d9f04-b8ab-4f26-8c55-1aecb76f80fa,POINT (-107.89418 37.27553001),df3d9f04-b8ab-4f26-8c55-1aecb76f80fa,MLF,-107.89418,37.27553001,194.628537067
Augusta,MT,59410,47.49596831,-112.4071746,,a55dddd5-f3aa-44ec-9b11-e5019fe1fd46,a55dddd5-f3aa-44ec-9b11-e5019fe1fd46,POINT (-112.4071746 47.49596831),a55dddd5-f3aa-44ec-9b11-e5019fe1fd46,MLF,-112.4071746,47.49596831,28.029263644
Boulder,MT,59632,46.21250614,-112.1212682,,16c2f909-590e-49be-9a4b-5f96e9e13821,16c2f909-590e-49be-9a4b-5f96e9e13821,POINT (-112.1212682 46.21250614),16c2f909-590e-49be-9a4b-5f96e9e13821,MLF,-112.1212682,46.21250614,16.58669641
Dillon,MT,59725,45.23126778,-112.7076891,,1c47b0ca-10cd-4c36-abd6-f529ade850c0,1c47b0ca-10cd-4c36-abd6-f529ade850c0,POINT (-112.7076891 45.23126778),1c47b0ca-10cd-4c36-abd6-f529ade850c0,MLF,-112.7076891,45.23126778,43.70806502000001
Forsyth,MT,59327,45.95663116,-106.657128,,f453339e-e333-40bf-8f62-5d9283872aec,f453339e-e333-40bf-8f62-5d9283872aec,POINT (-106.657128 45.95663116),f453339e-e333-40bf-8f62-5d9283872aec,MLF,-106.657128,45.95663116,24.082804861
Whitehall,MT,59759,45.88461247,-112.0875799,,ed20cce8-36ea-4925-9c6c-2a97eb681af9,ed20cce8-36ea-4925-9c6c-2a97eb681af9,POINT (-112.0875799 45.88461247),ed20cce8-36ea-4925-9c6c-2a97eb681af9,MLF,-112.0875799,45.88461247,26.8230163
